rank q_avg
1 4
2 2
3 1
4 2
5 1.83607
6 1
7 1
8 1
9 1
10 1
11 1
12 2
13 1
14 2
15 2
16 1
17 1
18 1
19 1
20 1
21 1
22 1
23 1
24 1
25 1
26 1
27 1
28 2
29 1
30 1
31 2
32 2
33 1
34 1
35 2
36 1
37 1
38 1
39 1
40 1
41 1
42 1
43 1
44 1
45 1
46 1
47 1
48 2
49 2
50 2
51 2
52 2
53 2
54 2
55 2
56 2
57 2
58 2
59 2
60 2
61 2
62 1
63 1
64 1
65 2
66 2
67 2
68 1
69 2
70 NaN
71 2
72 1
73 2
74 2
75 2
76 2
77 2
78 2
79 2
80 2
81 2
82 2
83 2
84 2
85 2
86 1
87 2
88 2
89 2
90 2
91 2
92 2
93 1
94 2
95 2
96 1
97 2
98 2
99 2
100 2
