rank q_avg
1 1
2 1
3 2
4 1
5 2
6 1
7 1
8 1
9 1
10 1
11 1
12 1
13 1
14 1
15 1
16 1
17 1.91667
18 2
19 1
20 2
21 2
22 2
23 2
24 1
25 1
26 1
27 1
28 1
29 1
30 2
31 1
32 1
33 1
34 1
35 1
36 1
37 1
38 1
39 1
40 1
41 2
42 2
43 1
44 1
45 1
46 2
47 1
48 1
49 1
50 1
51 1
52 1
53 2
54 2
55 2
56 2
57 2
58 2
59 2
60 2
61 2
62 1
63 1
64 1
65 2
66 2
67 2
68 1
69 1
70 1
71 1
72 1
73 1
74 2
75 1
76 1
77 1
78 2
79 1
80 1
81 1
82 1
83 1
84 1
85 1
86 2
87 1
88 2
89 NaN
90 1
91 1
92 2
93 1
94 1
95 1
96 1
97 2
98 1
99 2
100 1
