rank	q=0	q=1	q=2	
1	0	802	0
2	0	401	0
3	0	267	0
4	0	200	0
5	0	160	0
6	0	134	0
7	0	115	0
8	0	100	0
9	0	89	0
10	0	80	0
11	0	73	0
12	0	67	0
13	0	62	0
14	0	57	0
15	0	53	0
16	0	50	0
17	0	47	0
18	0	45	0
19	0	42	0
20	0	40	0
21	0	38	0
22	0	36	0
23	0	35	0
24	0	33	0
25	0	32	0
26	0	31	0
27	0	30	0
28	0	29	0
29	0	28	0
30	0	27	0
31	0	26	0
32	0	25	0
33	0	24	0
34	0	24	0
35	0	23	0
36	0	22	0
37	0	22	0
38	0	21	0
39	0	21	0
40	0	20	0
41	0	20	0
42	0	19	0
43	0	19	0
44	0	18	0
45	0	18	0
46	0	17	0
47	0	17	0
48	0	17	0
49	0	16	0
50	0	16	0
51	0	16	0
52	0	15	0
53	0	15	0
54	0	15	0
55	0	15	0
56	0	14	0
57	0	14	0
58	0	14	0
59	0	14	0
60	0	13	0
61	0	13	0
62	0	13	0
63	1	12	0
64	0	13	0
65	0	12	0
66	0	12	0
67	0	12	0
68	0	12	0
69	0	12	0
70	0	11	0
71	0	11	0
72	0	11	0
73	0	11	0
74	0	11	0
75	0	11	0
76	0	11	0
77	10	0	0
78	10	0	0
79	10	0	0
80	10	0	0
81	10	0	0
82	10	0	0
83	10	0	0
84	10	0	0
85	0	9	0
86	0	9	0
87	0	9	0
88	0	9	0
89	0	9	0
90	0	9	0
91	0	9	0
92	0	9	0
93	0	9	0
94	0	9	0
95	0	8	0
96	0	8	0
97	0	8	0
98	0	8	0
99	0	8	0
100	0	8	0
101	0	8	0
102	0	8	0
103	0	8	0
104	0	8	0
105	0	8	0
106	0	8	0
107	0	7	0
108	0	7	0
109	0	7	0
110	0	7	0
111	0	7	0
112	0	7	0
113	0	7	0
114	0	7	0
115	0	7	0
116	0	7	0
117	0	7	0
118	0	7	0
119	0	7	0
120	0	7	0
121	0	7	0
122	0	7	0
123	0	7	0
124	0	6	0
125	0	6	0
126	0	6	0
127	0	6	0
128	0	6	0
129	0	6	0
130	0	6	0
131	0	6	0
132	0	6	0
133	0	6	0
134	0	6	0
135	0	6	0
136	0	6	0
137	0	6	0
138	0	6	0
139	0	6	0
140	0	6	0
141	0	6	0
142	0	6	0
143	0	6	0
144	0	6	0
145	0	6	0
146	0	5	0
147	0	5	0
148	0	5	0
149	0	5	0
150	0	5	0
151	0	5	0
152	0	5	0
153	0	5	0
154	0	5	0
155	0	5	0
156	0	5	0
157	0	5	0
158	0	5	0
159	0	5	0
160	0	5	0
161	0	5	0
162	0	5	0
163	0	5	0
164	0	5	0
165	0	5	0
166	0	5	0
167	0	5	0
168	0	5	0
169	0	5	0
170	0	5	0
171	5	0	0
172	0	5	0
173	0	5	0
174	0	5	0
175	0	5	0
176	0	5	0
177	5	0	0
178	0	5	0
179	4	0	0
180	4	0	0
181	4	0	0
182	4	0	0
183	0	4	0
184	0	4	0
185	0	4	0
186	0	4	0
187	0	4	0
188	0	4	0
189	0	4	0
190	0	4	0
191	0	4	0
192	0	4	0
193	0	4	0
194	0	4	0
195	0	4	0
196	0	4	0
197	0	4	0
198	0	4	0
199	0	4	0
200	0	4	0
201	0	4	0
202	0	4	0
203	0	4	0
204	0	4	0
205	0	4	0
206	0	4	0
207	0	4	0
208	0	4	0
209	0	4	0
210	0	4	0
211	0	4	0
212	0	4	0
213	0	4	0
214	4	0	0
215	4	0	0
216	4	0	0
217	4	0	0
218	4	0	0
219	4	0	0
220	4	0	0
221	4	0	0
222	4	0	0
223	4	0	0
224	4	0	0
225	4	0	0
226	4	0	0
227	4	0	0
228	4	0	0
229	4	0	0
230	3	0	0
231	3	0	0
232	3	0	0
233	3	0	0
234	3	0	0
235	3	0	0
236	3	0	0
237	3	0	0
238	3	0	0
239	3	0	0
240	3	0	0
241	3	0	0
242	3	0	0
243	3	0	0
244	3	0	0
245	3	0	0
246	3	0	0
247	3	0	0
248	3	0	0
249	3	0	0
250	3	0	0
251	3	0	0
252	3	0	0
253	3	0	0
254	0	3	0
255	0	3	0
256	0	3	0
257	0	3	0
258	0	3	0
259	0	3	0
260	0	3	0
261	0	3	0
262	0	3	0
263	0	3	0
264	0	3	0
265	0	3	0
266	0	3	0
267	0	3	0
268	0	3	0
269	0	3	0
270	0	3	0
271	0	3	0
272	0	3	0
273	0	3	0
274	0	3	0
275	0	3	0
276	0	3	0
277	0	3	0
278	0	3	0
279	0	3	0
280	0	3	0
281	0	3	0
282	0	3	0
283	0	3	0
284	0	3	0
285	0	3	0
286	0	3	0
287	0	3	0
288	0	3	0
289	0	3	0
290	0	3	0
291	0	3	0
292	0	3	0
293	0	3	0
294	0	3	0
295	0	3	0
296	0	3	0
297	0	3	0
298	0	3	0
299	0	3	0
300	0	3	0
301	0	3	0
302	0	3	0
303	0	3	0
304	0	3	0
305	0	3	0
306	0	3	0
307	0	3	0
308	0	3	0
309	0	3	0
310	0	3	0
311	0	3	0
312	0	3	0
313	0	3	0
314	0	3	0
315	0	3	0
316	0	3	0
317	0	3	0
318	0	3	0
319	0	3	0
320	0	3	0
