#out_scale in_scale as_num #q1 #q2 #q3 #q4 #q5
0.5 0.5 2 154 0 0 0 0
0.5 1 2 113 0 0 0 0
0.5 2 2 86 0 0 0 0
0.5 4 2 34 0 0 0 0
0.5 6 2 0 0 0 0 0
0.5 8 2 11 0 0 0 0
0.5 10 2 7 0 0 0 0
1 0.5 2 776 1 0 0 0
1 1 2 760 1 0 0 0
1 2 2 776 1 0 0 0
1 4 2 772 0 0 0 0
1 6 2 49 0 0 0 0
1 8 2 741 1 0 0 0
1 10 2 76 1 0 0 0
2 0.5 2 176 410 0 0 0
2 1 2 147 351 0 0 0
2 2 2 98 164 0 0 0
2 4 2 54 225 0 0 0
2 6 2 153 48 0 0 0
2 8 2 155 139 0 0 0
2 10 2 126 256 0 0 0
4 0.5 2 0 362 61 2 0
4 1 2 0 180 149 0 0
4 2 2 0 199 140 0 0
4 4 2 0 88 192 0 0
4 6 2 0 159 137 0 0
4 8 2 0 37 116 0 0
4 10 2 0 0 0 0 0
6 0.5 2 54 302 22 9 19
6 1 2 0 15 152 43 1
6 2 2 0 0 141 53 0
6 4 2 0 0 100 80 0
6 6 2 0 0 1 1 0
6 8 2 0 0 0 0 0
6 10 2 0 0 185 29 0
8 0.5 2 36 201 38 9 34
8 1 2 0 1 116 0 50
8 2 2 0 0 58 81 17
8 4 2 0 0 3 82 0
8 6 2 0 0 1 18 0
8 8 2 0 0 0 95 0
8 10 2 0 0 7 135 0
10 0.5 2 45 197 38 9 34
10 1 2 0 3 115 0 50
10 2 2 0 0 65 31 50
10 4 2 0 0 0 88 37
10 6 2 0 0 0 69 48
10 8 2 0 0 0 59 57
10 10 2 0 0 0 70 50
