rank q_avg
1 3
2 2
3 2
4 1
5 1
6 2
7 1
8 2
9 1
10 2
11 2
12 1
13 2
14 2
15 2
16 2
17 2
18 2
19 2
20 2
21 2
22 2
23 2
24 2
25 2
26 2
27 2
28 2
29 2
30 2
31 2
32 2
33 2
34 1.5
35 1
36 1
37 1
38 1
39 1
40 1
41 2
42 1
43 1
44 1
45 1
46 1
47 1
48 1
49 1
50 1
51 1
52 2
53 1
54 2
55 1
56 1
57 1
58 1
59 1
60 1
61 1
62 1
63 1
64 1
65 2
66 1
67 1
68 1
69 2
70 NaN
71 1
72 1
73 2
74 2
75 2
76 1
77 2
78 1
79 2
80 1
81 2
82 2
83 2
84 1
85 2
86 1
87 1
88 1
89 1
90 2
91 1
92 1
93 1
94 1
95 2
96 2
97 2
98 1
99 2
100 2
